,codigo,tipo,municipio,territorial,nss,fuente,altitud,latitud,longitud,ubicacion,database,table,codigo_ideam,categoria_ideam,emails
66,67,Pluviógrafo,Angelópolis,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada la Clara,1950,6.1219780,-75.7117870,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_67_rain,,,"['silvacastro2502@gmail.com', 'jeimymarin2789@gmail.com']"
67,68,Pluviógrafo,Armenia,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La María,1892,6.1616670,-75.7758060,Planta de Tratamiento de Agua Potable - PTAP,precipitacion,p_68,,,[]
68,69,Pluviógrafo,Sabaneta,Aburrá Sur,Río Aburrá - NSS,Quebrada La Doctora,1694,6.1524720,-75.6001390,Finca Villa Paula (Propiedad del Municipio),precipitacion,p_69,,,[]
69,70,Pluviógrafo,La Estrella,Aburrá Sur,Río Aburrá - NSS,Quebrada La Bermejal,1863,6.1379720,-75.6397500,Colegio  Ana Eva Escobar - Vereda La Bermejala,precipitacion,p_70,,,[]
70,71,Pluviógrafo,San José de la Montaña,Tahamíes,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Quebrada San Jose,2693,6.8486390,-75.6882500,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_71_rain,,,[]
71,72,Pluviógrafo,Bello,Aburrá Norte,Río Aburrá - NSS,Quebrada Tierradentro,1774,6.3432370,-75.5616110,Intitución Educativa Rural  - Vereda Cuartas,precipitacion,p_72,,,['willyfran56@hotmail.com']
72,73,Pluviógrafo,Barbosa,Aburrá Norte,Río Aburrá - NSS,Quebrada La Lopez,1404,6.4310560,-75.3257220,Planta de Tratamiento de Agua Potable - EPM,mauricioTesting,p_73_rain,,,"['vanegasgilberto12@gmail.com', 'maria.saldarriaga@barbosa.gov.co']"
73,74,Pluviógrafo,Remedios,Zenufaná,Río Ite - NSS,Quebrada San Pedro,708,7.0278190,-74.6958500,Edificio de la Alcaldía,precipitacion,p_74,,,[]
74,75,Pluviógrafo,Caldas,Aburrá Sur,Río Aburrá - NSS,Quebrada La Miel,1774,6.0918890,-75.6346940,Terraza Plaza de Mercado Municipal,precipitacion,p_75,,,['desastres@caldasantioquia.gov.co']
75,76,Pluviógrafo,Carolina del Príncipe,Tahamíes,Río Guadalupe y Medio Porce - NSS,Quebrada Santa Isabel,1819,6.7239030,-75.2941140,Planta de Tratamiento de Agua Potable - PTAP - Sector La Granja,mauricioTesting,p_76_rain,,,[]
76,77,Pluviógrafo,Montebello,Cartama,Río Arma,Quebrada Agua Blanca,2421,5.9451670,-75.5258610,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_77_rain,,,[]
77,78,Pluviógrafo,Itagüí,Aburrá Sur,Río Aburrá - NSS,Quebrada Doña María,2159,6.1955139,-75.6190110,Corporación la Tartaná - Sede 'La montaña que piensa',precipitacion,p_78,,,[]
78,79,Pluviógrafo,Gómez Plata,Tahamíes,Río Guadalupe y Medio Porce - NSS,Quebrada Hojas Anchas - Parte alta,1912,6.6690830,-75.2166110,Planta de Tratamiento de Agua Potable - PTAP,mauricioTesting,p_79_rain,,,"['planeacion@gomezplata-antioquia.gov.co', 'lulitapues@hotmail.com']"
79,80,Pluviógrafo,Yolombó,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Río San Lorenzo -Parte Alta,1460,6.5993890,-75.0138610,Casa Cural (contigua al edificio de la Alcaldia),mauricioTesting,p_80_rain,,,['danielamacias07@hotmail.com']
80,81,Pluviógrafo,Envigado,Aburrá Sur,Río Negro - NSS,Quebrada las Palmas,1607,6.1348920,-75.5316920,Unidad residencial San Sebastián,precipitacion,p_81,,,[]
81,82,Pluviógrafo,Envigado,Aburrá Sur,Río Negro - NSS,Quebrada Espíritu Santo,1607,6.1650950,-75.4948320,"Truchera Charco Azul, sector Carmela",precipitacion,p_82,,,[]
82,83,Pluviógrafo,Donmatías,Tahamíes,Rio Grande - Chico - NSS,,2264,6.4685000,-75.3814722,Vereda Iborra. Sede Acción comunal,mauricioTesting,p_83_rain,,,[]
83,84,Pluviógrafo,San Jerónimo,Hevéxicos,Directos Río Cauca (md) - Río Aurra - NSS,,2263,6.4174722,-75.6724444,Vereda Buenos Aires parte baja. I.E Arsenio Díaz Lupin,mauricioTesting,p_84_rain,,,[]
84,85,Pluviógrafo,Sopetrán,Hevéxicos,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,,1995,6.5361944,-75.7020278,Vereda Montegrande. I.E Jose Maria Villa,mauricioTesting,p_85_rain,,,[]
85,86,Pluviógrafo,Cáceres,Panzenú,Río Taraza y otros directos al Cauca (md) - NSS,,1995,7.7651389,-75.2639722,Corregimiento Jardín. Planta de tratamiento de agua potable,mauricioTesting,p_86_rain,,,[]
86,87,Pluviógrafo,Nechí,Panzenú,Río Bajo San Jorge - NSS,,35,8.0568611,-74.8776667,Vereda Colorado. I.E Colorado,mauricioTesting,p_87_rain,,,[]
87,88,Pluviógrafo,Caucasia,Panzenú,Río Cacerí - NSS,,109,7.7957500,-75.0711944,Vereda el Pando,mauricioTesting,p_88_rain,,,[]
88,89,Pluviógrafo,El Bagre,Panzenú,Río Amacerí - NSS,,70,7.7636944,-74.7205278,Vereda El Castillo. Colegio El Castillo,mauricioTesting,p_89_rain,,,[]
89,90,Pluviógrafo,Andes,Citará,Río San Juan - SZH (md),"""""",1944,5.6199167,-75.9431389,Vereda San Agustín. Finca familia Norberto,mauricioTesting,p_90_rain,,,"['bomberosdeandes1@gmail.com', 'lfloreo@hotmail.com', 'alcaldia@andes-antioquia.gov.co']"
90,91,Pluviógrafo,Jericó,Cartama,Río Frío y Otros Directos al Cauca - NSS,"""""",1900,5.7695833,-75.7368889,Vereda Palo Cabildo. I.E San Francisco de Asís,mauricioTesting,p_91_rain,,,['instrumentacionpiragua@udea.edu.co']
91,92,Pluviógrafo,Medellín,Aburrá Norte,Río Aburrá - NSS,"""""",1572,6.2303333,-75.6114444,Terraza Bloque Centro de laboratorios. Universidad de Medellín,mauricioTesting,p_92_rain,,,"['josegomez1084@gmail.com', 'patricia.palacio@udea.edu.co']"
92,93,Pluviógrafo,Puerto Nare,Zenufaná,Río Cocorná y directos Magdalena Medio entre ríos La Miel y Nare (mi) - NSS,,138,6.0463889,-74.5870556,Vereda las Angelitas. I.E Las Angelitas,mauricioTesting,p_93_rain,,,[]
93,94,Pluviógrafo,Yondó,Zenufaná,Río Cimitarra y otros directos al Magdalena - NSS,,87,6.9451389,-74.0513333,Vereda Caño Blanco. Planta de tratamiento de agua potable,mauricioTesting,p_94_rain,,,[]
94,95,Pluviógrafo,Fredonia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,"""""",1575,5.9113333,-75.6594167,Vereda Naranjal,mauricioTesting,p_95_rain,,,"['desarrollorural@fredonia-antioquia.gov.co', 'victor.velez81@gmail.com', 'clopad@fredonia-antioquia.gov.co']"
95,96,Pluviógrafo,Guadalupe,Tahamíes,Río Guadalupe y Medio Porce - NSS,"""""",1622,6.8422778,-75.2176667,Vereda Guanteros. Escuela Guanteros,mauricioTesting,p_96_rain,,,['Hectorlyon777@yahoo.es']
96,97,Pluviógrafo,Toledo,Tahamíes,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,,498,7.0639444,-75.6859722,Vereda Valle de Toledo. Campamento EPM,mauricioTesting,p_97_rain,,,[]
97,98,Pluviógrafo,Jardín,Citará,Río San Juan - SZH (md),,87,5.5945556,-75.8404722,Superpunto. Vereda Verdum. Institución Educativa de Desarrollo Rural Miguel Valencia,mauricioTesting,p_98_rain,,,[]
98,1001,Limnígrafo,Caldas,Aburrá Sur,Río Aburrá - NSS,Río Medellín,1750,6.0760280,-75.6324170,,mauricioTesting,n_1001_analog,,,[]
99,1002,Limnígrafo,Caucasia,Panzenú,Río Taraza y otros directos al Cauca (md) - NSS,Río Man,50,7.9562400,-75.2077280,,nivel,n_1002,,,[]
100,1003,Limnígrafo,La Pintada,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Cauca,608,5.7455280,-75.6064170,,nivel,n_1003,,,[]
101,1004,Limnígrafo,Gómez Plata,Tahamíes,Río Guadalupe y Medio Porce - NSS,Río Porce,1828,6.5595890,-75.2058780,,nivel,n_1004,,,[]
102,1005,Limnígrafo,Caucasia,Panzenú,Río Cacerí - NSS,Río Caceri,58,7.7927360,-74.9340570,,nivel,n_1005,,,[]
103,1006,Limnígrafo,Sabaneta,Aburrá Sur,Río Aburrá - NSS,Río Medellín,1625,6.1536110,-75.6254170,,nivel,n_1006,,,[]
104,1007,Limnígrafo,Andes,Citará,Río San Juan - SZH (md),Río Taparto,1508,5.7032500,-75.9647780,,nivel,n_1007,,,[]
105,1008,Limnígrafo,Santa Rosa de Osos,Tahamíes,Rio Grande - Chico - NSS,Río Grande,1066,6.5724170,-75.2721670,,nivel,n_1008,,,[]
106,1009,Limnígrafo,Fredonia,Cartama,Río Frío y Otros Directos al Cauca - NSS,Rio Cauca,636,5.8298330,-75.7079170,,mauricioTesting,n_1009_analog,,,['instrumentacionpiragua@udea.edu.co']
107,1010,Limnígrafo,Santa Fé de Antioquia,Hevéxicos,Directos Río Cauca (md) - Río Aurra - NSS,Río Cauca,481,6.5136390,-75.8179720,,mauricioTesting,n_1010_analog,,,[]
108,1011,Limnígrafo,Envigado,Aburrá Sur,Río Aburrá - NSS,Quebrada Ayurá,1685,6.1492670,-75.5763360,,nivel,n_1011,,,[]
109,1012,Limnígrafo,Puerto Nare,Zenufaná,Río Nare - NSS,Río Nare,136,6.2167780,-74.6164900,,nivel,n_1012,,,[]
110,1013,Limnígrafo,Cisneros,Zenufaná,Río Nus - NSS,Río Nus,1038,6.5375000,-75.0847220,,nivel,n_1013,,,[]
111,1014,Limnígrafo,Tarazá,Panzenú,Río Taraza y otros directos al Cauca (md) - NSS,Río Tarazá,96,7.5825810,-75.3996390,,nivel,n_1014,,,[]
112,1015,Limnígrafo,Itagüí,Aburrá Sur,Río Aburrá - NSS,Quebrada Doña Maria,1610,6.1718310,-75.6276280,,nivel,n_1015,,,[]
113,1016,Limnígrafo,Venecia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada Sinifaná,612,5.9976670,-75.8120000,,mauricioTesting,n_1016_analog,,,[]
114,1017,Limnígrafo,Copacabana,Aburrá Norte,Río Aburrá - NSS,Río Medellín,1420,6.3501670,-75.5072780,,nivel,n_1017,,,[]
115,1018,Limnígrafo,Zaragoza,Panzenú,Río Tigui - NSS,Río Nechí,75,7.4923280,-74.8733100,,nivel,n_1018,,,[]
116,1019,Limnígrafo,Cáceres,Panzenú,Río Taraza y otros directos al Cauca (md) - NSS,Río Cauca,81,7.5840830,-75.3486670,,nivel,n_1019,,,[]
117,1020,Limnígrafo,Gómez Plata,Tahamíes,Río Guadalupe y Medio Porce - NSS,Quebrada Hojas Anchas,1828,6.6816830,-75.2180550,,mauricioTesting,n_1020_analog,,,[]
118,1021,Limnígrafo,Ciudad Bolívar,Citará,Río San Juan - SZH (md),Río Bolívar,1192,5.8498890,-76.0239470,,nivel,n_1021,,,[]
119,1022,Limnígrafo,Salgar,Citará,Río San Juan - SZH (md),Río San Juan,571,5.9327500,-75.8591940,,mauricioTesting,n_1022_analog,,,[]
120,1023,Limnígrafo,Belmira,Tahamíes,Rio Grande - Chico - NSS,Río Chico,2533,6.6074720,-75.6677200,,nivel,n_1023,,,[]
121,1024,Limnígrafo,Caracolí,Zenufaná,Río Nus - NSS,Río Nus,625,6.4143860,-74.7578970,,nivel,n_1024,,,[]
